"R0000100","R7227800","R9793400","R9871900","U5753500"
1,177000,-4,309,-5
2,-3,-4,217,115000
3,-4,-4,-4,-4
4,21000,-4,253,45000
5,-3,-4,243,150000
6,-3,-4,162,25000
7,-3,-4,-4,-5
8,64000,-4,281,70000
9,75000,-4,286,120000
10,-4,-4,362,135000
11,3000,-4,283,48000
12,-3,-4,239,92000
13,-3,-4,234,-5
14,-5,-4,-4,-4
15,-4,-4,341,-5
16,3300,-4,192,100000
17,-5,-4,-9,-5
18,-5,-4,-4,-4
19,-3,-4,300,48000
20,-5,-4,-4,-5
21,-3,-4,280,30000
22,0,-4,-4,65000
23,-4,-4,-7,91000
24,-4,-4,-4,-4
25,46500,-4,-7,-4
26,-3,-4,203,-4
27,4000,-4,-4,25000
28,-3,-4,248,60000
29,-5,-4,-4,-5
30,-5,-4,-4,-5
31,92060,-4,-8,120000
32,285805,-4,275,120000
33,-3,-4,391,10000
34,-4,-4,-4,-4
35,-4,-4,315,52000
36,-3,-4,-7,-5
37,37500,-4,239,75000
38,52500,-4,284,70000
39,-3,-4,-4,-5
40,-4,-4,-4,-5
41,34000,-4,250,85000
42,-4,-4,-4,-5
43,-5,-4,243,-4
44,0,-4,-4,-4
45,0,-4,159,46000
46,0,-4,-4,-4
47,-3,-4,-4,20000
48,-3,-4,-4,76000
49,-3,-4,237,18000
50,-4,-4,-4,36000
51,17500,-4,101,56000
52,-3,-4,-7,60000
53,5000,-4,266,-5
54,-3,-4,-4,40000
55,-3,-4,-4,54000
56,135500,-4,344,100000
57,-3,-4,298,-4
58,-4,-4,-4,120000
59,52000,-4,-7,11000
60,-4,-4,297,40000
61,-4,-4,-7,2500
62,75000,21,203,15000
63,-4,15,253,56000
64,7500,-4,-7,120000
65,-4,-4,238,-4
66,-3,-4,357,-5
67,-3,-4,231,100000
68,-3,-4,86,12000
69,-3,-4,-7,120000
70,77500,-4,236,-5
71,-3,-4,254,30000
72,-3,-4,-4,-4
73,-4,-4,-7,-5
74,-4,-4,-4,197000
75,0,-4,-7,110000
76,19000,-4,-8,120000
77,-4,-4,-4,-5
78,-3,-4,145,15000
79,0,-4,244,40000
80,6000,-4,-4,-4
81,-3,-4,-4,-4
82,-4,-4,248,12000
83,36000,-4,-4,44000
84,-4,-4,308,-5
85,-4,-4,-4,45000
86,44250,-4,276,51000
87,-4,-4,-4,-5
88,-3,-4,-4,52000
89,26000,-4,-7,138000
90,51000,-4,-7,40000
91,47500,-4,-4,120000
92,-4,-4,-4,-4
93,-4,-4,-7,-5
94,32000,-4,-7,-4
95,-5,-4,-4,-5
96,-5,-4,-4,-5
97,50000,-4,-7,-5
98,-3,-4,-4,-5
99,-3,-4,-7,-5
100,-3,-4,176,-4
101,0,-4,-7,-5
102,39500,-4,250,80000
103,82800,19,252,-5
104,97500,-4,308,80000
105,120000,-4,296,150000
106,-5,-4,217,-5
107,285805,24,356,200000
108,-4,-4,314,150000
109,77500,22,344,-4
110,-4,20,300,77000
111,8000,22,344,-4
112,-4,18,310,65000
113,-4,-4,-4,150000
114,79500,-4,275,20000
115,20000,-4,-4,-5
116,-5,-4,249,-5
117,-5,-4,224,40000
118,-3,-4,243,-5
119,285805,-4,-4,56000
120,-5,-4,-4,50000
121,120100,-4,248,70000
122,-4,-4,230,74000
123,-5,-4,300,-5
124,-5,-4,-4,-5
125,-5,-4,-4,100000
126,-3,-4,202,79000
127,150900,-4,308,-5
128,77750,-4,343,5000
129,-3,-4,359,-5
130,-3,-4,-4,48000
131,-5,-4,337,-5
132,91000,-4,344,88000
133,70000,-4,321,380288
134,-4,-4,336,-5
135,2500,-4,339,-5
136,-3,-4,355,115000
137,-3,-4,-7,50000
138,-4,-4,204,124000
139,-4,-4,362,-5
140,-5,-4,-4,-5
141,285805,-4,-4,-5
142,82900,-4,272,40000
143,35000,-4,246,-4
144,165500,-4,238,70000
145,-4,-4,232,105000
146,-4,-4,-4,28000
147,-4,-4,169,44000
148,20000,-4,258,40000
149,-4,-4,239,-4
150,-4,-4,200,-5
151,-5,-4,224,-5
152,-3,-4,220,-5
153,13542,-4,263,-4
154,-5,-4,273,-5
155,285805,-4,350,190000
156,177630,-4,360,380288
157,102250,-4,374,57000
158,-4,-4,386,-5
159,-3,-4,212,32000
160,0,-4,-8,-4
161,75000,-4,256,60000
162,20000,-4,287,97000
163,-5,-4,-4,-5
164,63000,-4,327,60000
165,91000,-4,345,-5
166,68500,-4,378,-4
167,-4,-4,-4,-4
168,95000,-4,246,-5
169,-4,19,317,41600
170,-4,16,320,-2
171,-4,-4,329,65000
172,-5,-4,-4,-5
173,-3,-4,341,-5
174,-4,-4,292,40000
175,100700,-4,328,73000
176,285805,29,339,135000
177,-3,-4,316,78000
178,-5,-4,-4,70000
179,-5,-4,370,-5
180,-5,-4,-4,-5
181,-3,-4,370,90000
182,-4,27,363,200000
183,-3,-4,299,7000
184,-4,-4,265,-5
185,-3,-4,-4,-5
186,-4,-4,-4,-5
187,120801,-4,287,165000
188,-5,-4,313,65000
189,-4,20,285,-5
190,-3,-4,-4,-5
191,285805,-4,268,45000
192,-3,-4,-4,30000
193,55000,-4,179,60000
194,-5,-4,283,40000
195,-4,-4,-4,45000
196,-4,-4,-4,-5
197,-5,-4,-4,65000
198,82000,-4,293,45000
199,-3,-4,301,70000
200,46210,-4,352,73280
201,95500,-4,320,108000
202,6000,-4,288,70000
203,-4,-4,356,150000
204,21000,-4,292,103000
205,-4,-4,-4,-5
206,65000,-4,298,55000
207,77500,-4,318,-5
208,-4,-4,359,-5
209,50550,-4,195,-5
210,-4,-4,158,-5
211,20000,-4,293,-1
212,73500,-4,-4,-5
213,63600,-4,346,-4
214,43000,-4,313,-5
215,30000,-4,284,-2
216,147500,-4,-4,150000
217,-3,-4,-4,10000
218,85000,-4,222,-5
219,93700,-4,349,10000
220,-4,-4,243,-5
221,65090,-4,296,25000
222,60600,-4,282,120000
223,68000,-4,309,100000
224,95000,-4,303,20000
225,58500,-4,262,62000
226,23000,-4,286,-4
227,-3,-4,-4,-5
228,40000,-4,256,125000
229,-4,-4,377,90000
230,-4,-4,302,120000
231,22000,-4,-4,27000
232,-4,-4,-4,100000
233,0,-4,212,30000
234,-4,-4,264,-4
235,78000,-4,325,72000
236,-4,-4,-4,0
237,-4,-4,-4,100000
238,2010,-4,292,810
239,-3,-4,261,85000
240,0,-4,-4,110000
241,77500,-4,336,105000
242,-4,-4,303,110000
243,-3,-4,253,55000
244,87010,-4,221,60000
245,-4,17,331,85000
246,6000,-4,322,124000
247,33000,-4,332,130000
248,31500,-4,313,89000
249,-5,-4,-4,-4
250,2500,-4,-4,-5
251,-3,-4,299,140000
252,-4,-4,296,90000
253,-4,-4,-4,-5
254,-3,-4,328,70000
255,-5,-4,-4,150000
256,-3,-4,101,125000
257,-4,-4,156,-5
258,23500,-4,287,72000
259,-3,-4,-4,-5
260,-3,-4,293,45000
261,-4,-4,229,-5
262,-3,-4,-4,-5
